"","gender","age_group","education","unemployed","have_partner","depressed","children_presence","housing_financial_difficulties","selfrated_health","critical_job","weight"
"308","f","_2","high","yes","yes","no","no","yes","good","yes",2.85953058438849
"309","m","_3","high","yes","yes","no","no","yes","good","yes",2.21870627868779
"310","f","_3","high","yes","yes","no","no","yes","good","yes",1.9531322125641
"311","m","_4","high","yes","yes","no","no","yes","good","yes",0.594514622434333
"312","f","_4","high","yes","yes","no","no","yes","good","yes",0.365198969847607
"313","m","_1","low","no","yes","no","no","yes","good","yes",0.00181380400089694
"314","f","_1","low","no","yes","no","no","yes","good","yes",0.00120740818039583
"315","m","_2","low","no","yes","no","no","yes","good","yes",0.00261611154873792
"316","f","_2","low","no","yes","no","no","yes","good","yes",0.00151502773290743
"317","m","_3","low","no","yes","no","no","yes","good","yes",0.0034892141274167
"318","f","_3","low","no","yes","no","no","yes","good","yes",0.00219397051710329
"319","m","_4","low","no","yes","no","no","yes","good","yes",0.00143633280877705
"320","f","_4","low","no","yes","no","no","yes","good","yes",0.000630221794934928
"321","m","_1","middle","no","yes","no","no","yes","good","yes",0.0380881193445715
"322","f","_1","middle","no","yes","no","no","yes","good","yes",0.0376190524164013
"323","m","_2","middle","no","yes","no","no","yes","good","yes",0.0173323307775248
"324","f","_2","middle","no","yes","no","no","yes","good","yes",0.0148927828695461
"325","m","_3","middle","no","yes","no","no","yes","good","yes",0.013620164996239
"326","f","_3","middle","no","yes","no","no","yes","good","yes",0.0127069142123622
"327","m","_4","middle","no","yes","no","no","yes","good","yes",0.00403185178507081
"328","f","_4","middle","no","yes","no","no","yes","good","yes",0.00262480751261209
"329","m","_1","high","no","yes","no","no","yes","good","yes",0.331032625955294
"330","f","_1","high","no","yes","no","no","yes","good","yes",0.281201801970719
"331","m","_2","high","no","yes","no","no","yes","good","yes",0.0947740051264867
"332","f","_2","high","no","yes","no","no","yes","good","yes",0.0700385426497652
"333","m","_3","high","no","yes","no","no","yes","good","yes",0.0550951344797995
"334","f","_3","high","no","yes","no","no","yes","good","yes",0.0442079070272937
"335","m","_4","high","no","yes","no","no","yes","good","yes",0.0205001252869556
"336","f","_4","high","no","yes","no","no","yes","good","yes",0.0114783217569931
"337","m","_1","low","yes","no","no","no","yes","good","yes",0.191633800949665
"338","f","_1","low","yes","no","no","no","yes","good","yes",0.0987729381159466
"339","m","_2","low","yes","no","no","no","yes","good","yes",0.642128243346488
"340","f","_2","low","yes","no","no","no","yes","good","yes",0.287930848838622
"341","m","_3","low","yes","no","no","no","yes","good","yes",0.872448422133999
"342","f","_3","low","yes","no","no","no","yes","good","yes",0.424761383769037
"343","m","_4","low","yes","no","no","no","yes","good","yes",0.269602245235857
"344","f","_4","low","yes","no","no","no","yes","good","yes",0.0915933498211484
"345","m","_1","middle","yes","no","no","no","yes","good","yes",5.61889426509835
"346","f","_1","middle","yes","no","no","no","yes","good","yes",4.29705866488263
"347","m","_2","middle","yes","no","no","no","yes","good","yes",5.94021351241971
"348","f","_2","middle","yes","no","no","no","yes","good","yes",3.95205559047804
"349","m","_3","middle","yes","no","no","no","yes","good","yes",4.75525795027921
"350","f","_3","middle","yes","no","no","no","yes","good","yes",3.43505669967832
"351","m","_4","middle","yes","no","no","no","yes","good","yes",1.05670206188648
"352","f","_4","middle","yes","no","no","no","yes","good","yes",0.532656899831437
"353","m","_1","high","yes","no","no","no","yes","good","yes",23.4586803831667
"354","f","_1","high","yes","no","no","no","yes","good","yes",15.4295400075261
"355","m","_2","high","yes","no","no","no","yes","good","yes",15.6029159642638
"356","f","_2","high","yes","no","no","no","yes","good","yes",8.92803196475505
"357","m","_3","high","yes","no","no","no","yes","good","yes",9.24009439015915
"358","f","_3","high","yes","no","no","no","yes","good","yes",5.74070479829995
"359","m","_4","high","yes","no","no","no","yes","good","yes",2.58092842100091
"360","f","_4","high","yes","no","no","no","yes","good","yes",1.11892232703021
"361","m","_1","low","no","no","no","no","yes","good","yes",0.00260122854965643
"362","f","_1","low","no","no","no","no","yes","good","yes",0.00122207890388049
"363","m","_2","low","no","no","no","no","yes","good","yes",0.00560643527445909
"364","f","_2","low","no","no","no","no","yes","good","yes",0.00229143801741672
"365","m","_3","low","no","no","no","no","yes","good","yes",0.00703932081409773
"366","f","_3","low","no","no","no","no","yes","good","yes",0.00312385523864414
"367","m","_4","low","no","no","no","no","yes","good","yes",0.00302061267850374
"368","f","_4","low","no","no","no","no","yes","good","yes",0.000935384901065469
"369","m","_1","middle","no","no","no","no","yes","good","yes",0.0956163903361618
